UrbanRural,TotalIncomeLastYear,Race,TotalExpLastQ
1,152200,1,6964.05
1,38000,1,9671.75
1,36030,1,3446.1333
1,8380,6,1036.4667
1,160000,1,32153
1,13028,1,574.6333
1,133448,1,7557.7667
1,40000,1,8250.6667
1,264926,1,9418.7368
2,33000,1,2456.4333
1,119795,6,12664.0001
1,40000,1,7720.55
1,117200,1,14296.2244
1,37280,1,6963.9666
1,12000,2,4699.5
1,150000,1,11809.7999
1,25000,1,1586.75
1,6000,1,2007.25
1,32088,1,2571.4667
1,97512,1,28411.0502
1,96324,1,10497.4999
1,7176,1,2304.95
1,96060,1,10465.8501
1,165500,1,12292.1665
1,165000,1,4443.9167
1,150000,1,12635.5579
1,50000,1,13574.4999
1,306460,1,25327.0001
1,43200,1,7613.95
1,11485,1,4842.2499
1,75000,1,4522.3666
1,3465,2,1581.2499
1,6188,1,2659
1,24852,1,11552.8
1,20000,1,5510.5
1,300000,2,31632.0577
1,137800,1,13236.5
1,14882,2,11241.1999
2,19892,1,4497.6
1,24000,1,6385.1789
1,451886,1,11018.7789
1,28000,1,34512
1,250416,4,20400.8001
1,2000,1,4633.75
1,13411,1,11185.95
1,77000,1,22108.7501
1,55000,1,2522.8333
1,40000,1,5778.8667
2,66000,6,4051.8
1,13608,2,2516.9333
1,20048,1,5852.5001
1,270201,1,10255.1955
1,134000,1,10994.2666
1,60000,1,5367.1667
1,42869,1,11271.8
1,20800,1,5244.7499
1,14808,1,4472.4667
1,99670,1,57672.0333
1,18000,1,28036.4232
1,4000,2,2278.3333
1,45017,1,4913.55
1,75000,4,16322.5001
1,40000,1,6010
1,27600,2,2845.6667
1,38864,1,1689.0667
1,43002,1,10800.65
1,29760,1,3072.0833
1,18540,1,4688.8667
1,39216,4,16847.2
1,98140,1,10483.6001
1,28840,1,8855.2667
1,62000,1,2757.5833
1,324386,1,18619.8913
1,13704,1,9239.4
1,130000,4,9256.8333
1,60454,1,10832.7501
1,21012,1,2670.4667
1,50000,1,14812.5
2,20808,1,1361
1,21000,1,6347.1667
1,2509,1,3277
1,1204,1,10112.5
1,49552,1,2040.05
1,55150,1,8357.3499
1,40696,1,9839.3
1,31396,1,7175.2499
1,49001,1,10221.9001
1,49556,1,4537.6333
1,110000,1,11295.25
1,15400,1,2552
1,54169,1,8718.2667
1,42072,1,1532.25
1,22044,1,8276
1,31164,4,14223
1,9072,1,2125
1,480593,1,60507.0868
1,100000,1,15194.1001
1,60000,1,3722
1,300025,1,22602.0733
1,6768,2,8127.9001
1,75000,1,9702.6667
1,92608,1,2120.0667
1,151716,1,5010.5833
1,12000,1,2250
1,55000,1,8689.7999
1,30000,1,8280.4001
1,68968,1,7746.6001
1,137120,2,28376.2501
1,160000,1,13072.4333
1,45000,1,8619.2333
1,62000,1,14734.8333
1,79785,4,20105.3333
1,33996,1,2661.6
1,11676,1,678.4667
1,32008,1,1040.4667
1,127704,2,13004.6167
1,176024,1,9368.0577
1,15216,1,2570
1,49000,1,3529.4167
1,14184,1,3102
2,400,1,2232.4999
1,100000,1,22032.1999
1,39516,1,3020.2666
2,127000,1,7667.7501
1,173200,1,12519
1,44000,2,3822.3
1,150000,1,25743.5499
1,12372,1,3296.6667
1,29816,1,8467.8
1,44628,1,6397.8
1,32400,1,5403.5
1,120000,1,4039
1,10068,2,3244.5
1,214300,1,7343.5833
1,42751,1,5270.2167
1,4000,2,3780.3333
1,63576,2,9624.0166
1,281417,1,16219.5
1,17000,1,3793.4001
1,100000,1,5253.6667
1,21380,1,5519.4
1,102300,1,2812.1667
1,102889,1,12561.1999
1,30996,1,17383.8
1,39480,1,2324.8
1,21872,2,7804.9333
1,4453,1,2147.1333
1,150000,1,17702.2245
1,27600,2,8535.2501
1,182360,1,19110.2667
1,152601,1,14338.3333
1,9214,1,1591.55
1,11492,1,2181.1333
1,16344,1,9691.4
1,45586,1,5212.2
1,102000,1,4785.8334
1,30000,1,3961.5
1,7089,3,4317.0001
1,100000,1,18729.2499
1,71200,1,14778.0001
1,55000,1,13719.3499
1,133000,1,15341.7501
1,32016,1,10866.55
1,26000,1,5883.7501
1,26140,1,6483.4
1,169561,1,46803.8001
1,49706,1,2208.4333
1,29892,1,6982
1,110000,1,8103.75
1,23000,4,4772.0001
1,110005,1,11685.4999
2,40000,1,3014.6667
1,35520,1,7755.6501
1,1608,1,4659.4667
1,13596,1,3954.9333
1,100000,1,4809.1334
1,9003,1,2913.8499
1,225000,1,50785.8247
2,26508,1,6558.8
1,264386,1,30357.3368
1,27917,2,4891.4
1,3500,1,6455.9999
1,110000,1,4138.5834
1,15000,1,2923.0001
1,40000,1,6745.1501
1,206664,1,14836.1499
1,19604,1,5585.6667
1,61042,1,9408.4999
1,60000,1,2891.8333
1,80000,1,7037.4999
1,68408,1,41789.3579
1,58097,1,4276.1833
1,45180,1,6281.5001
1,24696,1,2673.8
1,9256,2,3715.4667
1,31526,1,2767.6333
1,37642,1,2612.1333
1,102500,1,26214.0001
2,79010,1,14217.6333
1,34000,1,8431.3499
1,37248,1,2658.9333
1,150000,1,17852.9867
1,20000,2,6384.5
1,79000,1,14794.5501
2,47816,1,3115.0834
1,12000,1,3890
1,12324,1,1782.3333
1,90000,1,16928.8333
1,35200,1,5742.0499
1,21643,1,2114.1333
1,129000,1,17814.2501
1,20300,1,3920.9999
1,100000,1,7659.3333
1,12000,1,2480
2,91000,1,36031.5001
2,45000,2,3224.5834
1,10200,4,1330.4667
1,88000,1,6589.6668
1,80125,1,11106
1,27829,1,5278.5333
1,8473,1,3364.6667
1,47000,1,6947.3334
1,53616,1,1656.9334
1,77000,1,7664.7166
1,5600,1,3383.8333
2,12780,1,645.8
1,76000,1,10048.6667
1,55000,1,11571.9667
1,77180,1,12036.75
2,4040,3,2805.4667
1,70000,1,11382.9999
1,115453,1,19295
1,103416,1,13994.3667
1,14000,1,4801.3
1,29088,2,9175.5333
1,57200,2,3313.1334
1,27108,1,5790.4
1,16738,5,8221.4999
1,72604,1,7773.9333
1,85000,1,9684.4
1,3216,1,5346.8
1,86000,2,5444.35
1,128000,1,10410.3333
1,36000,1,7090.5
1,66000,1,1895.4167
1,18972,1,2199.4
1,22162,1,2755
1,35000,2,5630.8335
1,480,2,1514
1,60000,1,10649.5001
2,229357,1,22533.1499
1,4190,2,2956.6667
1,68000,1,12623
1,37000,2,5792.7501
1,5964,2,1951.6667
1,30000,1,16983.75
1,150000,1,6564.8038
1,27832,1,21017
1,21655,1,6785.0999
1,8000,1,14599.5
1,28630,1,6247.5
1,369386,1,37322.8333
1,23000,2,2650.0001
1,61010,2,12229.6499
1,140000,1,58534.6667
1,19608,1,8581.3334
1,36000,1,8947.3368
1,21216,1,2025.6667
1,32520,1,9432.8
1,120000,1,18841.45
1,16608,1,4641.4
1,38200,1,59185.9001
1,344386,1,5554.4456
1,113016,2,4657.3333
1,12195,1,2222.3333
1,30000,2,11672.75
2,27816,1,3011.6
1,83036,1,21448.4
1,23926,1,3842.6
1,120000,1,5153.3333
1,18072,1,2303
1,67407,1,7614.8333
1,17806,1,2083.8
1,46666,1,8006.2499
1,6000,1,32754.1667
1,264386,1,27019.3868
1,5000,2,8995.9999
1,38624,1,19508.5001
1,25500,1,7821.0001
1,56600,1,6701.3333
1,5000,1,1355.3333
1,20693,1,4002.2667
1,15000,1,7087.0001
1,78000,6,11498.75
1,10488,1,2768
1,17000,2,15881.6577
1,1935,1,7334.7499
1,67600,1,23582.35
1,32608,1,8184.15
1,34000,1,5653.1001
1,43000,5,11168.4
1,34000,1,3190.3334
